Timestamp, upperLink1, upperLink2, upperLink3, upperLink4, lowerLink1, lowerLink2, lowerLink3, lowerLink4, gripUpperR, gripUpperL, gripLowerR, gripLowerL,
9.099998,-0.9424952,1.600222,0.03350598,0.9702634,1.019639,-1.580919,0.1390969,-1.0883,0.02659524,-0.01945073,0.03879324,-0.007090824, 
9.199999,-0.9424952,1.600222,0.03350729,0.970246,1.019604,-1.580867,0.1392578,-1.088318,0.02658905,-0.01944014,0.0388139,-0.007070028, 
9.299999,-0.9424778,1.600222,0.03350824,0.970246,1.019586,-1.580849,0.1393374,-1.088318,0.02658594,-0.01943486,0.03882584,-0.007057949, 
9.4,-0.9424778,1.600222,0.03350872,0.970246,1.019569,-1.580832,0.1393772,-1.088318,0.0265844,-0.01943219,0.03883253,-0.007051204, 
9.5,-0.9424778,1.600222,0.03350884,0.970246,1.019552,-1.580832,0.1393969,-1.088318,0.02658374,-0.01943085,0.03883634,-0.007047378, 
9.6,-0.9424778,1.600222,0.03350908,0.970246,1.019552,-1.580814,0.1394067,-1.088318,0.02658328,-0.01943013,0.03883846,-0.007045232, 
9.700001,-0.9424778,1.600222,0.03350919,0.970246,1.019552,-1.580814,0.1394117,-1.088335,0.02658317,-0.01942978,0.03883956,-0.007044045, 
9.800001,-0.9424604,1.600222,0.03840524,0.970246,1.019552,-1.580814,0.1394138,-1.088335,0.0265828,-0.01942976,0.03884031,-0.007043433, 
9.900002,-0.9423556,1.600135,0.05185848,0.9702809,1.019517,-1.580797,0.1394123,-1.088335,0.02658366,-0.01942812,0.03884392,-0.007039778, 
10,-0.9420938,1.599839,0.06964213,0.9703856,1.019464,-1.580745,0.1394045,-1.088352,0.02655575,-0.01945482,0.03885406,-0.007029511, 
10.1,-0.9416749,1.599332,0.08957094,0.9705601,1.019377,-1.580657,0.1393912,-1.08837,0.02649801,-0.01951134,0.03887041,-0.007012964, 
10.2,-0.9411165,1.598669,0.1105611,0.970787,1.017998,-1.568266,0.1393795,-1.100866,0.02641614,-0.01959187,0.03889185,-0.006992662, 
10.3,-0.940523,1.597936,0.126986,0.9710488,1.016584,-1.549538,0.1393424,-1.119559,0.02631077,-0.01969629,0.03894073,-0.006945531, 
10.4,-0.9399645,1.597273,0.135221,0.9713106,1.015363,-1.527617,0.1392844,-1.141306,0.02619992,-0.01980674,0.03901118,-0.006877426, 
10.5,-0.9395456,1.596802,0.1393057,0.9715026,1.014385,-1.50409,0.139216,-1.164554,0.02611502,-0.01989152,0.03909244,-0.006798872, 
10.6,-0.9392838,1.596522,0.1413339,0.9716597,1.013652,-1.479742,0.1391443,-1.188552,0.02605846,-0.01994813,0.03917827,-0.006715909, 
10.7,-0.9391267,1.596383,0.1423418,0.9717644,1.011558,-1.440228,0.1390807,-1.227909,0.02602283,-0.01998371,0.03926636,-0.006632266, 
10.8,-0.9390744,1.59633,0.1428473,0.9718342,1.009289,-1.389963,0.1390045,-1.27786,0.02600281,-0.02000366,0.03938222,-0.006522228, 
10.90001,-0.9391267,1.596348,0.1431061,0.9719215,1.006671,-1.327881,0.1389211,-1.339558,0.02599289,-0.02001348,0.03952678,-0.006384729, 
11.00001,-0.9392315,1.596435,0.1432451,0.9719914,1.004123,-1.256724,0.1388397,-1.410174,0.0259896,-0.02001676,0.03969888,-0.006220693, 
11.10001,-0.939406,1.596575,0.143325,0.972096,1.001383,-1.174903,0.1387781,-1.491366,0.02599009,-0.02001625,0.03988867,-0.00604031, 
11.20001,-0.939633,1.596732,0.1433762,0.9721833,0.9992184,-1.088335,0.1387532,-1.577149,0.02599296,-0.02001352,0.0400856,-0.005853235, 
11.30001,-0.9398773,1.596906,0.1434121,0.9723055,0.9978222,-1.001522,0.1387841,-1.663019,0.02599672,-0.02000987,0.04026884,-0.005680293, 
11.40001,-0.9401217,1.597081,0.1434389,0.9724276,0.9974906,-0.9193696,0.1388828,-1.744125,0.02600083,-0.02000575,0.04041675,-0.005542392, 
11.50001,-0.940331,1.597255,0.1434581,0.9725323,0.9981537,-0.8448092,0.1390493,-1.817533,0.02600422,-0.02000231,0.0405154,-0.005499938, 
11.60001,-0.9405056,1.597395,0.1434701,0.9726371,0.9994279,-0.7774045,0.1392722,-1.883804,0.02600633,-0.02000017,0.04056194,-0.005500044, 
11.70001,-0.9406452,1.5975,0.1434763,0.9727418,1.001714,-0.7216762,0.139536,-1.938293,0.02600707,-0.01999941,0.04056097,-0.005499998, 
11.80001,-0.9407499,1.597587,0.1434783,0.972829,1.004995,-0.6808879,0.1398153,-1.977737,0.02600652,-0.01999998,0.04052174,-0.005508689, 
11.90001,-0.9408371,1.59764,0.1434776,0.9728989,1.008032,-0.6476568,0.1400829,-2.009764,0.02600501,-0.02000137,0.04046103,-0.005556497, 
12.00001,-0.9348682,1.594864,0.1435351,0.9579065,1.011436,-0.618632,0.1403571,-2.038126,0.02602294,-0.01998396,0.04036515,-0.00564776, 
12.10001,-0.9268745,1.590396,0.1436128,0.9354267,1.015014,-0.5916142,0.1406337,-2.064707,0.0260251,-0.01998279,0.04024429,-0.005768525, 
12.20001,-0.9188635,1.584794,0.1436846,0.9092119,1.018923,-0.5700071,0.1409024,-2.085808,0.02600419,-0.02000463,0.0401134,-0.005901236, 
12.30001,-0.9116378,1.578354,0.1437414,0.8811295,1.023444,-0.5589067,0.1411491,-2.096193,0.025963,-0.02004666,0.03998248,-0.006034249, 
12.40001,-0.9053547,1.57132,0.1437826,0.8521221,1.027458,-0.5531123,0.1413529,-2.101289,0.02590663,-0.02010382,0.03986645,-0.006152201, 
12.50001,-0.8999267,1.563867,0.1438089,0.8226435,1.030861,-0.5500056,0.1415125,-2.103785,0.02584014,-0.02017109,0.03976932,-0.00625088, 
12.60001,-0.8951969,1.556083,0.1438227,0.792938,1.033619,-0.5482253,0.1416327,-2.104989,0.02576778,-0.02024413,0.03969295,-0.006328388, 
12.70001,-0.8909731,1.548072,0.1438258,0.7630929,1.035853,-0.5471607,0.1417239,-2.105548,0.02569281,-0.02031975,0.03963265,-0.006389763, 
12.80001,-0.8871509,1.539886,0.1438211,0.7331954,1.037633,-0.5464626,0.1417937,-2.105809,0.02561758,-0.0203956,0.03958502,-0.006438156, 
12.90001,-0.8835904,1.531596,0.1438095,0.7032629,1.039064,-0.5459914,0.1418475,-2.105932,0.02554404,-0.02046988,0.03954748,-0.006476277, 
13.00001,-0.8802568,1.523201,0.1437936,0.6732957,1.040181,-0.5456597,0.1418894,-2.105967,0.02547329,-0.02054111,0.03951774,-0.006506557, 
13.10001,-0.8770629,1.514736,0.1437738,0.6433284,1.041071,-0.5454154,0.1419228,-2.105984,0.02540665,-0.02060837,0.03949387,-0.006530868, 
13.20001,-0.8739736,1.506219,0.1437512,0.6133436,1.041787,-0.5452234,0.1419505,-2.105967,0.02534465,-0.0206709,0.0394733,-0.006551709, 
13.30001,-0.8709542,1.497684,0.1437269,0.5833588,1.042346,-0.5450838,0.1419723,-2.105967,0.02528811,-0.02072797,0.03945791,-0.006567424, 
13.40001,-0.8679871,1.489115,0.1437015,0.5533741,1.042799,-0.544979,0.1419904,-2.105949,0.02523734,-0.02077936,0.03944465,-0.006580788, 
13.50002,-0.8650724,1.480528,0.143675,0.5233893,1.043148,-0.5448918,0.1420058,-2.105949,0.02519265,-0.02082472,0.03943338,-0.006592249, 
13.60002,-0.8621577,1.471923,0.1436479,0.4934046,1.043428,-0.544822,0.1420193,-2.105932,0.02515429,-0.02086363,0.0394235,-0.006602281, 
13.70002,-0.859278,1.463319,0.1436205,0.4634024,1.043637,-0.5447871,0.1420311,-2.105932,0.02512269,-0.02089592,0.0394147,-0.006611165, 
13.80002,-0.8563982,1.454714,0.1435927,0.4334176,1.043829,-0.5447522,0.1420386,-2.105932,0.02509776,-0.02092138,0.03940671,-0.006619056, 
13.90002,-0.8532915,1.445796,0.14349,0.4035725,1.045505,-0.545747,0.1291236,-2.105967,0.02503164,-0.0209881,0.03930063,-0.00673007, 
14.00002,-0.8502895,1.437017,0.1434155,0.3736924,1.046726,-0.5462706,0.1096207,-2.106036,0.02498969,-0.02103076,0.03913371,-0.006905613, 
14.10002,-0.8473225,1.42829,0.1433509,0.34376,1.047686,-0.546672,0.08682809,-2.106141,0.02496231,-0.02105868,0.03888971,-0.007159906, 
14.20002,-0.8444077,1.419581,0.1432885,0.3138277,1.048524,-0.547056,0.062394,-2.106281,0.02494542,-0.02107622,0.03858386,-0.007476892, 
14.30002,-0.8414931,1.410872,0.1432264,0.2838953,1.049292,-0.5474399,0.03714309,-2.106438,0.02493723,-0.02108495,0.03823606,-0.007836111, 
14.40002,-0.8385958,1.402145,0.1431634,0.2539454,1.050007,-0.5478763,0.01979207,-2.106612,0.02493683,-0.02108594,0.03786348,-0.008216489, 
14.50002,-0.835716,1.393453,0.143106,0.2239956,1.050618,-0.5482428,0.01112138,-2.10677,0.02494732,-0.02107596,0.03753967,-0.008544256, 
14.60002,-0.8510749,1.414851,0.1483252,0.1799085,1.068368,-0.5666211,0.01699232,-2.108043,0.02966543,-0.0163561,0.0338213,-0.01225608, 
14.70002,-0.8401142,1.40211,0.1479593,0.1466426,1.067618,-0.5652772,0.01255547,-2.110103,0.03053993,-0.01548338,0.04118592,-0.005500006, 
14.80002,-0.8518777,1.410645,0.15,0.1113171,1.074268,-0.5762902,0.01737081,-2.110068,0.0323997,-0.01362335,0.03588117,-0.01006066, 
14.90002,-0.8614072,1.418045,0.1500001,0.07442084,1.077968,-0.5778087,0.01447247,-2.107101,0.03463174,-0.01139588,0.04306631,-0.005499925, 
15.00002,-0.8613375,1.411238,0.15,0.04482006,1.07823,-0.5817531,0.01785038,-2.108689,0.03451426,-0.0115118,0.03641218,-0.01035117, 
15.10002,-0.8641998,1.40965,0.1499999,0.01129228,1.079818,-0.5804267,0.01456354,-2.106421,0.03557549,-0.01045481,0.04340285,-0.005500025, 
