Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
3.449998, -0.8741831, 1.002447, 0.179226, 0.2892534, 0.8299739, -0.9664586, 0.15, -0.1946042, -0.05496532, 0.05498826, -0.05500009, 0.05254108, 
3.499998, -0.8798728, 1.015834, 0.179214, 0.3066543, 0.8316843, -0.9729687, 0.1499999, -0.2013063, -0.0549794, 0.05499939, -0.05499997, 0.05244479, 
3.549998, -0.8831017, 1.027772, 0.1792133, 0.3212104, 0.8325046, -0.9786061, 0.15, -0.2069437, -0.05499197, 0.05499998, -0.05500003, 0.05237022, 
3.599998, -0.8849866, 1.038122, 0.1792179, 0.3333753, 0.8328537, -0.9834407, 0.1499999, -0.2116037, -0.05499959, 0.05499996, -0.05500003, 0.05229549, 
3.649998, -0.8861386, 1.046953, 0.1792241, 0.3435157, 0.8329583, -0.9875596, 0.15, -0.2154783, -0.05500006, 0.05499994, -0.05500004, 0.05222513, 
3.699998, -0.8971691, 1.06308, 0.1792025, 0.3665192, 0.8367457, -0.9946806, 0.15, -0.2235592, -0.05499276, 0.0549994, -0.05500004, 0.0521517, 
3.749998, -0.9034348, 1.078055, 0.1791897, 0.3859097, 0.8384736, -1.001208, 0.15, -0.2302962, -0.05500006, 0.05499993, -0.05500003, 0.05206087, 
3.799998, -0.9069778, 1.091372, 0.1791905, 0.4021413, 0.8392765, -1.006915, 0.1499999, -0.2358813, -0.05499995, 0.05500007, -0.05500001, 0.0519638, 
3.849998, -0.9090373, 1.102926, 0.1791952, 0.4156851, 0.8395906, -1.01182, 0.15, -0.2405064, -0.05499996, 0.055, -0.05500004, 0.05186969, 
3.899997, -0.9102939, 1.11277, 0.1792028, 0.4269948, 0.839643, -1.016078, 0.15, -0.2442937, -0.05500003, 0.05499989, -0.055, 0.05175827, 
3.949997, -0.9226508, 1.130886, 0.1791774, 0.4528082, 0.8434478, -1.023339, 0.15, -0.2522873, -0.05499689, 0.055, -0.05500004, 0.05164984, 
3.999997, -0.9296322, 1.147694, 0.1791623, 0.4745899, 0.8450884, -1.029989, 0.1499999, -0.2589545, -0.05500001, 0.05499992, -0.05500003, 0.05152797, 
4.049997, -0.9335766, 1.162651, 0.1791626, 0.4927937, 0.8458215, -1.035818, 0.15, -0.2644697, -0.05499996, 0.05500001, -0.05500003, 0.05140391, 
4.099998, -0.9358979, 1.175601, 0.1791676, 0.5079955, 0.8460833, -1.040827, 0.1499999, -0.2690425, -0.05499997, 0.055, -0.05499999, 0.05128704, 
4.149998, -0.9373116, 1.186632, 0.179175, 0.5206841, 0.8460833, -1.045068, 0.1500001, -0.2728473, -0.055, 0.05500001, -0.05500005, 0.051181, 
4.199998, -0.9487261, 1.204906, 0.1791539, 0.5461484, 0.8498008, -1.052329, 0.1499999, -0.2808584, -0.05500004, 0.05499995, -0.05500003, 0.05107652, 
4.249998, -0.9551489, 1.221713, 0.1791433, 0.5675985, 0.851424, -1.058979, 0.15, -0.287543, -0.05499995, 0.05500002, -0.05500002, 0.05096091, 
4.299998, -0.9587792, 1.236566, 0.1791458, 0.5855405, 0.852157, -1.06479, 0.15, -0.2930757, -0.05500001, 0.05499992, -0.05500004, 0.05084451, 
