Timestamp, upperLink1, upperLink2, upperLink3, upperLink4, lowerLink1, lowerLink2, lowerLink3, lowerLink4, gripUpperR, gripUpperL, gripLowerR, gripLowerL
5.799997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.899997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.999997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
6.099997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
6.199996, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
6.299996, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
6.399996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
6.499996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
6.599996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
6.699996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
6.799996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
6.899996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
6.999996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
7.099996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
7.199996, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
7.299995, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
7.399995, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
7.499995, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
7.599995, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
7.699995, -0.8239699, 0.8665735, 0.1500001, 0.05532694, 0.7931648, -0.8120668, 0.1775522, -0.05951573, 0.05423765, -0.05401264, 0.04581042, -0.05458195, 
7.799995, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
7.899995, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
7.999995, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.099995, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.199995, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.299995, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.399996, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.499996, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.599997, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.699997, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.799997, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.899998, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
8.999998, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
9.099998, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
9.199999, -0.832557, 0.8663117, 0.1499999, 0.07014478, 0.8024675, -0.8379325, 0.179254, -0.09028588, 0.05500002, -0.05247369, 0.05039793, -0.05491562, 
9.299999, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
9.4, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
9.5, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
9.6, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
9.700001, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
9.800001, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
9.900002, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
10, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
10.1, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
10.2, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
10.3, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
10.4, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
10.5, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
10.6, -0.8310909, 0.8819672, 0.1500001, 0.08833111, 0.8395209, -0.8728391, 0.1800013, -0.1350885, 0.055, -0.05089416, 0.05237756, -0.055, 
10.7, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
10.8, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
10.90001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.00001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.10001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.20001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.30001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.40001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.50001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.60001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.70001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.80001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
11.90001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
12.00001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
12.10001, -0.8025373, 0.8694533, 0.1423484, 0.1131672, 0.8589987, -0.8851263, 0.1664429, -0.1964717, 0.05500002, -0.05123049, 0.05500009, -0.04667373, 
12.20001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
12.30001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
12.40001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
12.50001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
12.60001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
12.70001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
12.80001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
12.90001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
13.00001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
13.10001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
13.20001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
13.30001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
13.40001, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
13.50002, -0.8468338, 0.86598, 0.1298266, 0.1867851, 0.8361872, -0.8998743, 0.1693196, -0.2365968, 0.0425721, -0.05500003, 0.04441594, -0.05499999, 
13.60002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
13.70002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
13.80002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
13.90002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.00002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.10002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.20002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.30002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.40002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.50002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.60002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.70002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.80002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
14.90002, -0.8350877, 0.9017593, 0.1366981, 0.1997355, 0.8880933, -0.9453402, 0.1674883, -0.3193254, 0.04831525, -0.05499995, 0.05464323, -0.05001931, 
15.00002, -0.849539, 0.9190205, 0.1419624, 0.2172237, 0.9295623, -1.011541, 0.1679186, -0.4074471, 0.05263813, -0.05434035, 0.055, -0.04600107, 
15.10002, -0.849539, 0.9190205, 0.1419624, 0.2172237, 0.9295623, -1.011541, 0.1679186, -0.4074471, 0.05263813, -0.05434035, 0.055, -0.04600107, 
15.20002, -0.849539, 0.9190205, 0.1419624, 0.2172237, 0.9295623, -1.011541, 0.1679186, -0.4074471, 0.05263813, -0.05434035, 0.055, -0.04600107, 
