Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
2.749999, -0.7830769, 0.7845604, 0.1793214, 5.235988E-05, 0.7722384, -0.7981216, 0.1499998, 0.01120501, -0.05498349, 0.05499651, -0.05500003, 0.05155287, 
2.799999, -0.7830943, 0.7845778, 0.1793228, 5.235988E-05, 0.7722384, -0.798139, 0.1499997, 0.01120501, -0.05498403, 0.05499697, -0.05500005, 0.05155214, 
2.849998, -0.7830943, 0.7845778, 0.1793239, 5.235988E-05, 0.7722558, -0.7981565, 0.1499998, 0.01122247, -0.05498437, 0.05499735, -0.055, 0.05155154, 
2.899998, -0.7831118, 0.7845778, 0.179325, 5.235988E-05, 0.7722558, -0.798174, 0.15, 0.01122247, -0.0549847, 0.05499777, -0.05499996, 0.05155097, 
2.949998, -0.7831118, 0.7845953, 0.1793257, 5.235988E-05, 0.7722558, -0.7981914, 0.1499998, 0.01122247, -0.05498501, 0.05499803, -0.05500006, 0.05155047, 
2.999998, -0.7831118, 0.7845953, 0.1793264, 5.235988E-05, 0.7722558, -0.7981914, 0.15, 0.01122247, -0.05498528, 0.05499821, -0.05500004, 0.05155012, 
3.049998, -0.7831118, 0.7845953, 0.179327, 5.235988E-05, 0.7722558, -0.7981914, 0.1499998, 0.01122247, -0.0549854, 0.05499845, -0.05500001, 0.05154983, 
3.099998, -0.7831118, 0.7845953, 0.1793272, 5.235988E-05, 0.7722558, -0.7982089, 0.1499998, 0.01122247, -0.05498558, 0.05499858, -0.055, 0.05154949, 
3.149998, -0.7831118, 0.7845953, 0.1793276, 5.235988E-05, 0.7722733, -0.7982089, 0.15, 0.01122247, -0.05498572, 0.05499872, -0.05499994, 0.05154931, 
3.199998, -0.7831118, 0.7845953, 0.1793279, 5.235988E-05, 0.7722733, -0.7982089, 0.15, 0.01122247, -0.05498586, 0.05499886, -0.05500003, 0.05154905, 
3.249998, -0.7831292, 0.7845953, 0.1793282, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01122247, -0.0549859, 0.054999, -0.05500004, 0.05154884, 
3.299998, -0.7831292, 0.7845953, 0.1793284, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01122247, -0.05498599, 0.05499899, -0.05500001, 0.05154868, 
3.349998, -0.7831292, 0.7846128, 0.1793287, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01122247, -0.05498607, 0.05499914, -0.05500002, 0.05154856, 
3.399998, -0.7831292, 0.7846128, 0.1793287, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01122247, -0.0549862, 0.05499914, -0.05500005, 0.05154844, 
3.449998, -0.7831292, 0.7846128, 0.179329, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.05498622, 0.05499917, -0.055, 0.05154838, 
3.499998, -0.7831292, 0.7846128, 0.179329, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.05498619, 0.05499924, -0.05500008, 0.05154824, 
3.549998, -0.7831292, 0.7846128, 0.1793292, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.05498628, 0.05499926, -0.05500001, 0.05154819, 
3.599998, -0.7831292, 0.7846128, 0.1793291, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.05498627, 0.0549993, -0.05500001, 0.05154811, 
3.649998, -0.7831292, 0.7846128, 0.1793292, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.05498629, 0.05499933, -0.05500004, 0.05154806, 
3.699998, -0.7831292, 0.7846128, 0.1793292, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.05498633, 0.05499929, -0.05500003, 0.05154803, 
3.749998, -0.7831292, 0.7846128, 0.1793292, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.05498639, 0.05499934, -0.05500003, 0.05154798, 
3.799998, -0.7831292, 0.7846128, 0.1793294, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.0549864, 0.05499932, -0.05500007, 0.05154795, 
3.849998, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982264, 0.1499998, 0.01123992, -0.05498636, 0.05499938, -0.05500003, 0.05154792, 
3.899997, -0.7831292, 0.7846128, 0.1793294, 5.235988E-05, 0.7722733, -0.7982438, 0.1499998, 0.01123992, -0.05498637, 0.05499938, -0.05500004, 0.05154795, 
3.949997, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498637, 0.05499938, -0.05500007, 0.05154787, 
3.999997, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.1499998, 0.01123992, -0.05498645, 0.05499934, -0.05500001, 0.05154792, 
4.049997, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499934, -0.05499998, 0.05154788, 
4.099998, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498636, 0.05499939, -0.05500004, 0.0515479, 
4.149998, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499937, -0.055, 0.05154791, 
4.199998, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498642, 0.05499943, -0.05500007, 0.05154781, 
4.249998, -0.7831292, 0.7846128, 0.1793296, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499944, -0.05500004, 0.05154784, 
4.299998, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499946, -0.05500004, 0.05154784, 
4.349998, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499946, -0.05499999, 0.05154786, 
4.399999, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499946, -0.05500001, 0.05154781, 
4.449999, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499951, -0.055, 0.05154785, 
4.499999, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499951, -0.05500002, 0.05154781, 
4.549999, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499951, -0.05500006, 0.05154784, 
4.599999, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499955, -0.05499997, 0.05154786, 
4.65, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499961, -0.05500006, 0.05154773, 
4.7, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499961, -0.05499994, 0.05154784, 
4.75, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498639, 0.05499961, -0.05500001, 0.05154784, 
4.8, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499953, -0.05500001, 0.0515478, 
4.85, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499953, -0.055, 0.0515478, 
4.900001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499957, -0.05500002, 0.05154778, 
4.950001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499957, -0.055, 0.05154778, 
5.000001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499957, -0.05500002, 0.05154778, 
5.050001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.0549995, -0.05500006, 0.05154773, 
5.100001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499959, -0.05500006, 0.05154773, 
5.150002, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499959, -0.05500006, 0.05154773, 
