Joint1L,Joint2L,Joint3L,Joint4L,Joint1U,Joint2U,Joint3U,Joint4U
-44.99481,44.99426,0.08999997,0.0005519956,44.99438,-44.99438,0.09,-1.136352E-08
-45.81754,44.7641,0.08993554,1.053423,44.99433,-44.99429,0.09000012,-8.594675E-05
-46.63961,44.53413,0.08987116,2.105445,44.99429,-44.9942,0.09000023,-0.000171793
-47.46173,44.30414,0.08980678,3.157533,44.99425,-44.99411,0.09000034,-0.0002576608
-48.28383,44.07416,0.0897424,4.209582,44.99421,-44.99403,0.09000045,-0.0003435198
-49.1059,43.84419,0.08967803,5.261607,44.99416,-44.99394,0.09000056,-0.0004293832
-49.92778,43.61427,0.08961367,6.313386,44.99412,-44.99385,0.09000067,-0.0005152439
-50.75006,43.38424,0.08954927,7.365676,44.99408,-44.99377,0.09000079,-0.0006011049
-51.57211,43.15427,0.0894849,8.417677,44.99403,-44.99368,0.09000091,-0.0006869655
-52.3942,42.92429,0.08942052,9.469711,44.994,-44.99359,0.09000102,-0.0007728245
-53.21632,42.69431,0.08935614,10.52181,44.99395,-44.9935,0.09000113,-0.0008586808
-54.03827,42.46437,0.08929177,11.57368,44.99391,-44.99342,0.09000124,-0.0009445401
-54.86049,42.23435,0.08922739,12.62589,44.99387,-44.99333,0.09000135,-0.001030401
-55.68256,42.00438,0.08916301,13.67791,44.99382,-44.99324,0.09000147,-0.001116259
-57.3839,41.52843,0.08902977,15.85515,44.99374,-44.99306,0.0900017,-0.001293927
